Video file,Organ,Finding,Classification,labels
06a4e549-df04-428f-a370-aa6bce87e9eb,Lower GI,cecum,anatomical-landmarks,4
3f538692-ad90-4096-b3c4-7a54f1c3f9c7,Upper GI,z-line,anatomical-landmarks,22
11e7855f-436f-4e79-b77d-8a9b31f25ba5,Lower GI,bbps-2-3,quality-of-mucosal-views,3
e4f99fc3-9d20-4d87-8405-07ea66056c2f,Lower GI,polyps,pathological-findings,12
105bd1f5-d4d1-4be7-aad7-a3efe0f52125,Upper GI,pylorus,anatomical-landmarks,13
b05c07a4-bcaf-4d69-89bf-0228a02b80bb,Lower GI,polyps,pathological-findings,12
a19e7cae-7d59-4045-ac8e-c869ec2da3c0,Lower GI,dyed-lifted-polyps,therapeutic-interventions,5
d335826c-c09b-42f3-84dc-cc6cbc6fe0e5,Lower GI,polyps,pathological-findings,12
d8a21f92-e8c4-4d0b-87ad-4979f2a0959f,Lower GI,dyed-resection-margins,therapeutic-interventions,6
66220470-5dd0-45fd-9cec-9baccb45f1fd,Lower GI,bbps-0-1,quality-of-mucosal-views,2
1f89e369-54f4-47a9-babe-a61d427c96ff,Lower GI,dyed-lifted-polyps,therapeutic-interventions,5
ad1ea2e0-41f2-4bf0-9d5c-dab3143555fc,Upper GI,retroflex-stomach,anatomical-landmarks,15
af98182d-f813-4eea-a7a7-6054b1a311f3,Lower GI,polyps,pathological-findings,12
3da5cc47-6c2f-4e67-b5b8-3fb1ef7e6426,Lower GI,bbps-0-1,quality-of-mucosal-views,2
107d6261-ac51-4e0f-b6a1-8287986aac8d,Lower GI,cecum,anatomical-landmarks,4
0f60e8ad-25de-4660-91db-7aad6365a6a2,Upper GI,retroflex-stomach,anatomical-landmarks,15
448d5243-e566-4365-8060-ecd733bed989,Upper GI,retroflex-stomach,anatomical-landmarks,15
553664dc-49f6-42ee-8180-36f8a4e58d06,Lower GI,bbps-0-1,quality-of-mucosal-views,2
aa4e9e0a-de77-4c33-aa35-5fa3f6b3de41,Lower GI,polyps,pathological-findings,12
22d48389-f313-41bc-8d05-9648760f8d55,Upper GI,z-line,anatomical-landmarks,22
31d028a1-0f9d-4669-8ef9-78cb772c1e23,Lower GI,bbps-2-3,quality-of-mucosal-views,3
33e82aa7-ff67-4370-8f77-cd58e4f0097d,Lower GI,ulcerative-colitis-grade-2,pathological-findings,19
4dcb0437-f1cd-49ae-a328-22f01f5a103b,Lower GI,cecum,anatomical-landmarks,4
88c21cfc-5d6c-4c8b-9d9a-7f161257faa1,Upper GI,esophagitis-b-d,pathological-findings,8
6be8007d-d796-4824-88a1-ec78389bc41a,Lower GI,bbps-2-3,quality-of-mucosal-views,3
81e56181-7208-4d54-b6d1-1a4daf1c185d,Lower GI,cecum,anatomical-landmarks,4
3fb84393-3ea9-4408-91f2-800412bee5e3,Lower GI,bbps-0-1,quality-of-mucosal-views,2
05ba51d6-d6ac-492a-ad7d-4e144e22d0c9,Upper GI,pylorus,anatomical-landmarks,13
ceb8c5e8-d55e-4a43-9739-c65ad1f24f44,Lower GI,dyed-resection-margins,therapeutic-interventions,6
f6854054-5bd0-403e-ac7f-76e851ff8ae2,Upper GI,z-line,anatomical-landmarks,22
45e833e0-be3c-45b2-a1e5-bd39ab8c0728,Lower GI,cecum,anatomical-landmarks,4
d49c96ba-6741-4942-b125-b71b7fe3d307,Upper GI,pylorus,anatomical-landmarks,13
5970ef32-70cb-425b-acae-5289c0c6b368,Lower GI,bbps-2-3,quality-of-mucosal-views,3
2accf48c-1c59-4fe9-93ca-3788eb826138,Lower GI,bbps-0-1,quality-of-mucosal-views,2
f6c64961-b41c-4569-9a44-1deee095c095,Upper GI,barretts-short-segment,pathological-findings,1
fe8382d3-2f79-4df7-a75c-86cda2052b38,Upper GI,retroflex-stomach,anatomical-landmarks,15
090df806-3eaf-4621-b5ed-518323123cc7,Lower GI,cecum,anatomical-landmarks,4
49aed3ef-79e3-4e71-a08e-44e661872ea1,Upper GI,pylorus,anatomical-landmarks,13
1f17cb33-2f45-4b5b-a166-89cd58e89ff4,Lower GI,ulcerative-colitis-grade-2,pathological-findings,19
75a68831-1f7f-4749-910b-41bd05ebf79f,Upper GI,pylorus,anatomical-landmarks,13
5abd8d09-23ba-4f53-ad15-aa531929e6b3,Upper GI,pylorus,anatomical-landmarks,13
0ff891e3-c08e-4701-bed1-72f4ee73d9dd,Upper GI,z-line,anatomical-landmarks,22
831a7f11-8bb9-4010-a68b-0f31053f5c0c,Lower GI,ulcerative-colitis-grade-2,pathological-findings,19
ff16a698-7cf6-419a-9472-0c0cd2a87e96,Lower GI,ulcerative-colitis-grade-3,pathological-findings,21
36bb763e-8717-46a1-bbd2-aecbd9d84477,Lower GI,dyed-lifted-polyps,therapeutic-interventions,5
65fd2a00-f01d-47d5-a4ff-ce41ea662410,Lower GI,dyed-resection-margins,therapeutic-interventions,6
726b92cb-eb47-4b93-aded-68602c5b5998,Lower GI,bbps-2-3,quality-of-mucosal-views,3
738ce6ed-fa2f-4027-812b-8d588cd5e51f,Lower GI,ulcerative-colitis-grade-3,pathological-findings,21
af7b90d3-c600-4569-a891-c30c62a10186,Lower GI,cecum,anatomical-landmarks,4
4d0b10a3-a055-4239-b455-cca44f90998d,Lower GI,ulcerative-colitis-grade-3,pathological-findings,21
bffaacdb-efe6-4529-bf20-4b07ab1eda0e,Upper GI,pylorus,anatomical-landmarks,13
69705c8a-f7a0-4a1d-8165-c9a6f21af875,Upper GI,retroflex-stomach,anatomical-landmarks,15
5bb3fa62-ecfd-4c11-9425-0e8831d55225,Lower GI,dyed-resection-margins,therapeutic-interventions,6
54469bc1-cbb6-42f4-8cb2-764824d4afad,Upper GI,z-line,anatomical-landmarks,22
b3141da0-1fa3-460b-8c21-163d0154bd2d,Lower GI,dyed-lifted-polyps,therapeutic-interventions,5
33df0879-6860-4dfc-87c1-42ecfc791214,Upper GI,z-line,anatomical-landmarks,22
98730593-94a2-4675-a3ed-e956a2c782ab,Lower GI,polyps,pathological-findings,12
1969086c-0216-438c-ad7d-5422aed281e4,Lower GI,bbps-2-3,quality-of-mucosal-views,3
31bb4e46-49d1-49ad-a6fb-9f223f372ec0,Lower GI,bbps-2-3,quality-of-mucosal-views,3
7659b339-749e-4ce5-9647-15d2bc69e6ed,Lower GI,polyps,pathological-findings,12
0d9544c3-dd06-4664-b0a6-b36c49bac840,Lower GI,bbps-2-3,quality-of-mucosal-views,3
479efb5f-bbfc-4dad-9012-74b6d0d37b45,Lower GI,dyed-lifted-polyps,therapeutic-interventions,5
ee5d4719-46e1-4ec0-891f-078d702dfb8e,Upper GI,retroflex-stomach,anatomical-landmarks,15
251ee7fc-309d-4a83-bef4-7e29f2909587,Lower GI,bbps-2-3,quality-of-mucosal-views,3
b86d72db-ecd8-4299-8ac7-3c9f2a8c0681,Upper GI,z-line,anatomical-landmarks,22
e0c31d5c-9166-47ad-a70a-039ab7fe9de4,Upper GI,pylorus,anatomical-landmarks,13
d5b555b4-60a4-4387-910a-a77f84f811a1,Upper GI,pylorus,anatomical-landmarks,13
fd34d718-d5be-45ee-aabb-61c9a7b17623,Upper GI,pylorus,anatomical-landmarks,13
cb4e9a88-94bc-41f4-9bcd-c414d4f726a0,Lower GI,polyps,pathological-findings,12
485305df-5e72-4d5a-a683-19046c84de59,Upper GI,z-line,anatomical-landmarks,22
91c9b962-7b10-443d-bd8c-bae4f16e852f,Lower GI,bbps-2-3,quality-of-mucosal-views,3
fba99178-ce8d-4afe-bc8b-5f2664ba3595,Upper GI,esophagitis-a,pathological-findings,7
49276752-0fd7-4c82-ab9a-71fa92d0e734,Upper GI,pylorus,anatomical-landmarks,13
86a77c4f-d08e-4756-969d-058d42a80c5c,Lower GI,bbps-2-3,quality-of-mucosal-views,3
05f252aa-c147-4db7-afd4-96d0a862734f,Lower GI,dyed-resection-margins,therapeutic-interventions,6
39cf8273-848e-4b58-b988-4ef19e358660,Lower GI,ulcerative-colitis-grade-0-1,pathological-findings,16
20c95ece-c8fc-48f0-bf14-5774758cba30,Upper GI,z-line,anatomical-landmarks,22
592c38a6-c2e5-4408-b812-036994a138e3,Upper GI,esophagitis-a,pathological-findings,7
91e2df6b-b4a9-419f-994a-0742847953ed,Upper GI,pylorus,anatomical-landmarks,13
441bb932-d7af-4816-a60a-23145b46e080,Lower GI,bbps-2-3,quality-of-mucosal-views,3
9b0afb27-5f09-4578-8313-43661f3190e2,Lower GI,dyed-lifted-polyps,therapeutic-interventions,5
aeedd35a-3625-42ee-87fe-1866daad07c4,Lower GI,dyed-lifted-polyps,therapeutic-interventions,5
dd03925d-2a87-4b5d-9842-72acc4d30d5c,Lower GI,dyed-lifted-polyps,therapeutic-interventions,5
3ad8b448-9ba7-4eb0-820f-3ee509810770,Lower GI,dyed-resection-margins,therapeutic-interventions,6
b0badba0-7618-42ab-8330-90863a873716,Lower GI,impacted-stool,quality-of-mucosal-views,11
927628ae-c53c-4bfc-9601-8580330b16f8,Upper GI,esophagitis-b-d,pathological-findings,8
50b7b684-64aa-409d-9944-648e96dbd912,Lower GI,cecum,anatomical-landmarks,4
935589cf-7c06-4e12-8482-90673890bfab,Upper GI,retroflex-stomach,anatomical-landmarks,15
46d0232d-3012-4d8b-b220-10d5070bd3fa,Lower GI,polyps,pathological-findings,12
213f3010-239d-494b-8984-6c26d84b44e4,Upper GI,pylorus,anatomical-landmarks,13
6c0eec05-a648-4501-ac9b-bf21ce8b7727,Lower GI,cecum,anatomical-landmarks,4
6d1a2e0e-967e-4c01-9b75-976364d6e5e9,Lower GI,bbps-2-3,quality-of-mucosal-views,3
e0ab6791-c4bd-4617-b956-a1fdcb69bab9,Upper GI,z-line,anatomical-landmarks,22
cd6a620b-dfbd-403a-bf0d-29df59db31fe,Upper GI,esophagitis-a,pathological-findings,7
85c6d061-2e54-4e52-bd0e-3f39d08c962a,Lower GI,dyed-resection-margins,therapeutic-interventions,6
020d851b-c50b-4dd2-ac43-0dd6f9dbd81f,Lower GI,dyed-resection-margins,therapeutic-interventions,6
d8b5da08-a9f6-4473-8fc9-0a29226bb8d0,Upper GI,pylorus,anatomical-landmarks,13
8312479a-c0fc-4800-a1ef-5257d7159858,Lower GI,bbps-2-3,quality-of-mucosal-views,3
d6477eed-7510-4eb4-a6ab-f3a0c4a603f7,Upper GI,pylorus,anatomical-landmarks,13
63884ea3-e9c3-4974-b5f2-e140337aeb99,Lower GI,cecum,anatomical-landmarks,4
308a467c-a655-4ce6-bfbc-c94d4be1c81e,Upper GI,pylorus,anatomical-landmarks,13
28f222e2-9c77-4f70-bcec-d22b9c78a09f,Lower GI,dyed-resection-margins,therapeutic-interventions,6
b1b1955a-353f-4301-888c-c951ec6c439a,Lower GI,dyed-lifted-polyps,therapeutic-interventions,5
b4908f99-445f-4128-9a40-6fa3794a551d,Lower GI,ulcerative-colitis-grade-0-1,pathological-findings,16
eac2fca2-1b73-49c5-b725-8a3a8dd7001f,Lower GI,bbps-0-1,quality-of-mucosal-views,2
ae9a5eeb-e799-4bb8-995a-29dd3a6524a9,Upper GI,pylorus,anatomical-landmarks,13
435071be-449f-432b-85be-ab88529c2f09,Upper GI,retroflex-stomach,anatomical-landmarks,15
8bcf8c6e-56fe-4b1a-b254-9ddb9aa7cd94,Lower GI,bbps-2-3,quality-of-mucosal-views,3
74138051-ac26-41c5-9bb9-c174f97c8434,Lower GI,polyps,pathological-findings,12
770383bd-a843-4c6b-acb6-303236dd0c5b,Lower GI,bbps-0-1,quality-of-mucosal-views,2
27123bd8-2e97-43aa-a3b6-35d01000cfcd,Lower GI,polyps,pathological-findings,12
6b4061ed-b6a5-44ac-8408-5b9abb80f461,Lower GI,polyps,pathological-findings,12
a1087116-705a-4297-93e8-691941397c0a,Lower GI,dyed-resection-margins,therapeutic-interventions,6
47217af4-b996-4a26-9d4b-1ecf3d0cd176,Lower GI,cecum,anatomical-landmarks,4
9ef3749b-8158-4deb-a75b-7a0205dcf153,Upper GI,pylorus,anatomical-landmarks,13
506bde00-a1e4-4217-982a-59f41d20742f,Upper GI,z-line,anatomical-landmarks,22
0cac37d3-0eec-44c7-af10-c88dc8549cbe,Lower GI,polyps,pathological-findings,12
9c83d6f9-796a-4b83-a8db-e39939ed1502,Upper GI,z-line,anatomical-landmarks,22
244aae58-2b81-44fd-a7bc-6e2e09df301a,Upper GI,pylorus,anatomical-landmarks,13
cf67ad09-3d82-46a4-8e3f-e2ef96841d1e,Lower GI,impacted-stool,quality-of-mucosal-views,11
fe26ac85-0773-4cac-a374-b94ac6a97be5,Lower GI,dyed-lifted-polyps,therapeutic-interventions,5
00b55eda-6725-4e04-a260-4fe9e55f5314,Upper GI,z-line,anatomical-landmarks,22
a21ea7f5-bfbb-4cd7-9925-ed71d700e3d5,Upper GI,retroflex-stomach,anatomical-landmarks,15
4f43b09d-ee59-4cfa-b1af-f6cfd8b9825d,Lower GI,dyed-resection-margins,therapeutic-interventions,6
604c6386-fb0b-4876-9feb-b4e972daff0c,Lower GI,cecum,anatomical-landmarks,4
deb8578f-fba9-4c84-8752-fe9888cda3c8,Lower GI,retroflex-rectum,anatomical-landmarks,14
08a78ae3-515e-4520-b7ea-b747ed1c0312,Lower GI,retroflex-rectum,anatomical-landmarks,14
fa2d319f-2c75-4e99-85fa-cc8213db5341,Lower GI,polyps,pathological-findings,12
ea1c62c7-0f2c-4a9f-992e-855896716c03,Lower GI,cecum,anatomical-landmarks,4
5eefecfd-9457-41fd-816f-0f4e5cc8f775,Upper GI,pylorus,anatomical-landmarks,13
ca4f92b6-2bcc-45d8-9ab7-0b5de4016e02,Lower GI,retroflex-rectum,anatomical-landmarks,14
6d83d7cd-f14b-4a48-aab1-ade459376640,Lower GI,dyed-lifted-polyps,therapeutic-interventions,5
a6bdd3e6-242f-4a42-ba75-f944186ddaed,Upper GI,z-line,anatomical-landmarks,22
987539c9-86dd-4788-8e2c-26db8098f46b,Upper GI,esophagitis-a,pathological-findings,7
7a39aa33-4947-4bd2-a155-4be781149811,Upper GI,pylorus,anatomical-landmarks,13
fed8e305-c729-4d31-a200-1d990278ff95,Lower GI,cecum,anatomical-landmarks,4
83f910b8-23a1-4258-b49a-9b3564b6fe5d,Upper GI,pylorus,anatomical-landmarks,13
f62cf8ca-64c0-420c-8b80-332104888a25,Lower GI,bbps-0-1,quality-of-mucosal-views,2
c196300b-769e-4ba4-a782-b3ec5bdfb2fe,Lower GI,bbps-0-1,quality-of-mucosal-views,2
f8cc9ecb-077e-44aa-962d-6e9fa7306e78,Lower GI,bbps-2-3,quality-of-mucosal-views,3
3875e3a7-8c2b-4b8a-bf77-8d8ed66d2a75,Upper GI,pylorus,anatomical-landmarks,13
8c767f3a-3cb6-4a31-88d2-eb8eac3a5401,Lower GI,ulcerative-colitis-grade-2,pathological-findings,19
2b76faa0-f3eb-4dd1-a298-83abeb1a7f5c,Lower GI,dyed-resection-margins,therapeutic-interventions,6
e6cbe3c5-b20d-40c8-848a-eb7f67f11f8d,Lower GI,dyed-resection-margins,therapeutic-interventions,6
bfc25d88-d2e7-405f-944d-fceb7fad6da3,Upper GI,z-line,anatomical-landmarks,22
3d301c26-ddd2-409a-91ff-f9ea67fa4d1b,Lower GI,ulcerative-colitis-grade-3,pathological-findings,21
5252b288-3af4-4182-adb7-423c194bad79,Lower GI,polyps,pathological-findings,12
cb6329df-d9c7-4cfc-b2a2-08937082965b,Upper GI,z-line,anatomical-landmarks,22
ed09cdb0-c6a8-4d33-af79-14d3210ce730,Lower GI,dyed-lifted-polyps,therapeutic-interventions,5
4643e17a-0e26-496d-839a-2215cdd981d7,Lower GI,bbps-2-3,quality-of-mucosal-views,3
ab3ca9f1-c1f7-4bd3-9c15-b77effd51f8f,Upper GI,retroflex-stomach,anatomical-landmarks,15
2b9a7860-44a4-492a-8f80-4cd950393864,Upper GI,pylorus,anatomical-landmarks,13
63c763c8-5856-4bb8-bd6e-1c0440798b8f,Upper GI,retroflex-stomach,anatomical-landmarks,15
2b1e06b7-d4f3-42ae-804d-99b796145824,Lower GI,ulcerative-colitis-grade-2-3,pathological-findings,20
fe91eed2-c754-4d77-9de5-5be16f91596a,Lower GI,cecum,anatomical-landmarks,4
525f7e34-6d72-4304-bca9-54328d01eea6,Lower GI,bbps-2-3,quality-of-mucosal-views,3
1517b8d2-0153-447c-96e8-6c2d98f50290,Upper GI,z-line,anatomical-landmarks,22
f0626d8e-f582-4398-9303-16d6611bfdd6,Upper GI,retroflex-stomach,anatomical-landmarks,15
3b7014a8-8f80-40b5-8736-ef214a460eb4,Lower GI,bbps-0-1,quality-of-mucosal-views,2
cedd4f1a-e4c9-4f07-a42e-d75a407d4fcf,Lower GI,ulcerative-colitis-grade-2,pathological-findings,19
8d3dbe8d-13d6-4404-a16e-834c8b70cf78,Lower GI,dyed-lifted-polyps,therapeutic-interventions,5
7b1d4a87-b777-4f54-9b1a-6c8f19b8060d,Upper GI,z-line,anatomical-landmarks,22
feaf42ee-c625-490f-849d-4742174d6109,Upper GI,z-line,anatomical-landmarks,22
555ceecf-88d7-4cc3-93c7-5f4935428098,Lower GI,bbps-0-1,quality-of-mucosal-views,2
65150a2c-051b-47c3-b38e-8fb49dbd9142,Upper GI,pylorus,anatomical-landmarks,13
1d98fd36-75ad-4213-ab41-b9f0098cdcec,Lower GI,polyps,pathological-findings,12
c915668c-357a-40f0-8b5f-1c7dba19d5cc,Lower GI,dyed-lifted-polyps,therapeutic-interventions,5
ee25b823-a1a9-481e-872f-09f672f130c0,Lower GI,dyed-resection-margins,therapeutic-interventions,6
e54bbd58-8890-4638-8768-e30f568108d4,Lower GI,polyps,pathological-findings,12
a52ffe15-c1bf-4d40-8a9f-cec5c0fb09b2,Lower GI,ulcerative-colitis-grade-1,pathological-findings,17
d8aad9fc-54c4-4512-a770-e3db3553df96,Lower GI,ulcerative-colitis-grade-1,pathological-findings,17
1414ebab-500a-486a-a5b0-a03adf6d47b8,Lower GI,bbps-2-3,quality-of-mucosal-views,3
8d486b6b-ecb1-4bd7-992e-255d1c528bb4,Lower GI,bbps-0-1,quality-of-mucosal-views,2
d4c82e6f-97f1-4ce6-be17-b9f48cfc1dc5,Lower GI,impacted-stool,quality-of-mucosal-views,11
1f4b91e5-3b77-4c3e-b96c-1899016cd6e4,Upper GI,pylorus,anatomical-landmarks,13
e773c1a4-44e4-43b2-abdf-829b974847d2,Lower GI,ulcerative-colitis-grade-2,pathological-findings,19
8b4a56b2-8abd-47a9-9aa0-6499dec97b5e,Lower GI,ulcerative-colitis-grade-2,pathological-findings,19
c79a0d12-6c26-4d2f-941c-bd6d96ef8263,Lower GI,dyed-resection-margins,therapeutic-interventions,6
